[ QA Check & Talk Point ],,,,,,
No.,목차,Check Point,,Talk (example),,,고객예상질문1,고객예상질문2,고객예상질문3
,,6. Black list 검증 대상자의 국적 및 영문명 확인 ,,"(내국인의 경우) 실례지만 고객님 국적과 실제 거주하시는 곳은 동일하게 한국이시지요?
(외국인의 경우) 실례지만 고객님의 국적이 어떻게 되십니까? / 실제 거주하는곳도 동일하십니까?",,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
,,7. CDD & 실제 소유자 확인,,"고객님 신분증의 발급일자를 말씀 해주시겠습니까?
* 운전면허증의 경우 : 면허번호, 만료일자 확인
실례지만 하시는 일이 어떻게 되십니까?(+직장명이 어떻게 되십니까?)
이 계약의 실제 소유자가 계약자ooo님 맞으시죠? (재질의 시 ""고객님 본인 의지로 계약을 하신게 맞으시죠 타인을 대리하시는게 아니시죠?)
  → 아니오 인 경우: 실제 소유자 성명, 주민번호, 국적 확인",,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,"8. 지급계좌 예금주,은행명,계좌번호 확인",,지급 받으실 계좌와 은행 명 말씀 부탁 드립니다. (대면채널의 경우 송금정보만 가능),,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,9. 지급시간 안내 ,,접수 완료되어 2시간 이내에(17:00:01 이후 접수 : 익영업일 10시까지) 지급될 예정입니다. ,,,연금 신청/변경은 어떻게 하면 되나요?,연금 지급 방식과 선택 가능 항목을 알려주세요.,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,"※ 약관대출 건 존재 시, 중도분할금에서 일부 상환 후 지급됨 안내  ",,기존에 사용 중인 대출 원금의 일부와 이자 000원 상환 후 지급됩니다.,,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,수령 가능한 방식(문자/이메일/우편 등)을 알려주세요.,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,10. 자동송금 등록안내,,"고객님, 앞으로 중도보험금 발생 시 이렇게 별도의 신청 없이도 지정한 계좌로 자동 지급될 수 있도록 자동송금을 신청해 드릴까요? 
(피보험자, 만기수익자 상이건은 신청불가)",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
23,청약 철회 ,1. 총 계약 건 수 안내 및 해당 계약 확인 (철회 가능 기간 확인 필수) ,,,,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
,,2. 철회 사유 탐색 및 1차 반려  ,,실례지만 취소(청약철회)하시려는 사유가 어떻게 되세요~? / (사유에 맞는 철회 방어),,,해지/취소 신청은 어떻게 하면 되나요?,해지 시 확인해야 할 조건이나 필요서류가 있나요?,환급금 지급 시점과 공제 항목을 알려주세요.
,,"3. 철회 가능 기간 안내 
",,계약일로부터 OO일 이내 철회접수 가능합니다.,,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
,,4. 바이탈리티 통합상품 관련 팝업 시 안내,,"▶마지막 FCIP 철회 시 안내
바이탈리티 회원 서비스도 함께 종료 됩니다. 납입하신 회비는 -->아래 경우에 따라 안내<--
 *회원가입 15일 이내인 경우: 납입한 회비 반환됩니다. 
 *회원가입 15일 경과된 경우: (리워드 사용이력 없는 경우) 납입한 회비는 반환됩니다. / 
                                        (리워드 사용이력 있는 경우) 회원 서비스는 유예해지로 종료 됩니다. 
  (※유예해지? 회비 최종납입월의 익월 회원가입일 전일까지 서비스제공 후 종료)
▶마지막 VIP 상품 철회 시 안내(바이탈리티 1.1 & FCIP 가입된 상태)
OOO계약을 철회하실 경우, 해당 계약의 바이탈리티 리워드 제공기간 동안 바이탈리티(FCIP) 유료 서비스 상품의 회비 면제기간이 종료되고 회비 납입이 시작되는 점 양지 부탁 드립니다. ",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,"5. 청구권자 본인여부, 국적, 계약자 성명, 생년월일,영문명, 보험료 납부방법, 피보험자확인",,"1) 지금 신청하시는 분은 계약자 본인 맞으시죠?
2) 계약자님 성함과 생년월일 말씀 부탁드립니다.
3) 실례지만 고객님 국적과 실제 거주하시는 곳은 동일하게 한국이시지요?
   *(외국인의 경우) 고객님의 국적이 어떻게 되십니까? / 실제 거주하는곳도 동일하십니까?/영문이름을 말씀해 주시겠습니까? 
4) 피보험자 OOO님인 [     ]보험 총 N건 신청 하시는 게 맞으세요?
5) 해당 계약의 보험료는 어떤 방법으로 납입하기로 하셨어요?
6) 납입한 보험료는 청약 시 등록한 반환계좌로 지급 받으시겠어요? (※ 신용카드 납입일 경우 “해당카드 매출취소 처리됩니다.”)
   ※ 초회보험료 휴대폰 소액결제 시, 통신사 별 반환방법 상이   
    SKT, KT : 휴대폰 결제건 결제월 무관 전건 ""결제취소"" & LGU+, 알뜰폰 : 결제 당월 청약철회 시 ""결제취소"" 
    LGU+&알뜰폰 휴대폰 소액결제 결제 익월 접수 시: 납입하신 보험료 반환 받을 계약자 본인 계좌번호 말씀해 주시겠습니까? ",,,주소나 연락처 변경은 어떻게 진행하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,6. 지급시간 안내 ,,"<계좌 납부, 휴대폰 소액결제>
납부하신 보험료(초회 보험료)는 오늘을 포함해서 3영업일 이내에 반환 됩니다.
<신용카드 납부>
카드로 승인된 보험료는 승인 취소 처리 되서 고객님의 카드대금 청구 시 마이너스처리 될거구요, 승인취소 여부 확인을 원하신다면 평일기준 3일~7일 이 후에 해당 카드사로 확인하시면 됩니다",,,주소나 연락처 변경은 어떻게 진행하면 되나요?,본인확인 방법과 필요한 정보를 알려주세요.,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
24,품질보증해지,"1. 품질보증해지 원하는 계약건 확인
※ 채널 구분없이 민원접수 ",,,,,해지/취소 신청은 어떻게 하면 되나요?,해지 시 확인해야 할 조건이나 필요서류가 있나요?,환급금 지급 시점과 공제 항목을 알려주세요.
,,2. 품질보증해지 사유 확인 및 1차 해지 방어,,"실례지만, 해지하시려는 사유가 어떻게 되십니까? / (사유에 맞는 품해지 방어)",,,해지/취소 신청은 어떻게 하면 되나요?,해지 시 확인해야 할 조건이나 필요서류가 있나요?,환급금 지급 시점과 공제 항목을 알려주세요.
,,"3. 품질보증해지 가능 기간, 사유인지 확인",," ① 청약서에 자필로 서명 하셨습니까?  (※자필서명 불 필요건의 경우 1번 질문 생략)
 ② 청약서 부본과 약관은 받으셨습니까? 
 ③ 약관상의 중요한 내용(보장개시일, 삭감조건 등)에 대해 충분한 안내 받으셨습니까?",,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,수령 가능한 방식(문자/이메일/우편 등)을 알려주세요.,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,4. FATCA/CRS 확인,,"실례지만, 고객님 국적이 어떻게 되십니까? 
(내국인의 경우) 실례지만 고객님 국적과 실제 거주하시는 곳은 동일하게 한국이시지요?",,,해지/취소 신청은 어떻게 하면 되나요?,해지 시 확인해야 할 조건이나 필요서류가 있나요?,환급금 지급 시점과 공제 항목을 알려주세요.
,,통신채널,면대면채널,통신채널,면대면채널,,해지/취소 신청은 어떻게 하면 되나요?,해지 시 확인해야 할 조건이나 필요서류가 있나요?,환급금 지급 시점과 공제 항목을 알려주세요.
,,"5. (통신해지가능 ""Y""건) 통신수단을 이용한 계약해지 동의 여부 필수",,"고객님, 해당 보험계약의 청약 당시 통신수단을 이용한 계약 해지에 동의 해주신 것이 맞습니까? (yes답변 필수)",,,해지/취소 신청은 어떻게 하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",환급금 지급 시점과 공제 항목을 알려주세요.
,,6. CDD & 실제 소유자 확인,,"고객님 신분증의 발급일자를 말씀 해주시겠습니까?
* 운전면허증의 경우 : 면허번호, 만료일자 확인
실례지만 하시는 일이 어떻게 되십니까?(+직장명이 어떻게 되십니까?)
이 계약의 실제 소유자가 고객님 맞으시죠? (재질의 시 ""고객님 본인 의지로 계약을 하신게 맞으시죠 타인을 대리하시는게 아니시죠?)
  → 아니오 인 경우: 실제 소유자 성명, 주민번호, 국적 확인",,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,7. 자동이체 유지 의사(해지여부) 확인 ,,"현재 해당 계약 건의 경우 매월 O일자에 자동이체로 납입 중이신데요, 등록되어 있는 자동이체는 그대로 유지 하시겠습니까?",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,"8. 반환 계좌 확인 (예금주,은행명,계좌번호)",,해지 시 납입 하신 보험료를 반환 받으실 수 있는 계약자 본인 명의의 계좌번호와 은행명을 말씀 해 주시겠습니까?,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",적용 시점과 청구 일정은 어떻게 되나요?
,,"9. 소요 기간 안내 및 연락처 확인 (주소, 전화번호)
",,"요청하신 계약 해지에 대한 결과는 평일기준으로 14일 정도 걸릴 수 있고요, 후속조치가 필요한 경우에는 고객센터에서 전화로 안내 해 드리고, 그렇지 않을 경우 해당부서에서 전화나 우편을 통해 안내 해드리도록 하겠습니다.
접수하신 내용에 대한 결과는 현재 등록되어 있는 OO주소, 휴대폰으로 연락 드리면 될까요?",,,주소나 연락처 변경은 어떻게 진행하면 되나요?,접수 후 수령 방식은 어떻게 선택할 수 있나요?,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
25,해지접수,"1. 총 계약 건 수 안내 및 요청 계약 건 확인  
※ 만 65세 이상 고객의 경우 주소정보 추가확인",,,,,주소나 연락처 변경은 어떻게 진행하면 되나요?,본인확인 방법과 필요한 정보를 알려주세요.,변경 반영은 언제부터 확인할 수 있나요?
,,2. 해지 사유 확인 및 1차 반려 ,,"실례지만, 해지 하시려는 사유가 어떻게 되십니까? / (사유에 맞는 해지방어)",,,해지/취소 신청은 어떻게 하면 되나요?,해지 시 확인해야 할 조건이나 필요서류가 있나요?,환급금 지급 시점과 공제 항목을 알려주세요.
,,"3. 해지환급금 안내 (당일 기준 정확한 금액으로 안내)
 - VUL상품 : 종가변동에 따라 금액 매일 변동 안내 필수
 - 그 외 상품 : 당일 기준 금액 or 이후 금액 변동 가능 안내 필수",,"당일기준 해지환급금은 OO원 입니다
 - (기대출 존재)기 대출금과 전일까지 이자를 제외하고 오늘 기준 해지환급금은 OO원 입니다.
 - (VUL) 전일종가 기준이므로, 해지환급금 지급 시 종가에 따라 변동될 수 있습니다",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,4. (계약자≠수익자) 건 추가 해지절차 진행 ,,"증권소지 확인 or 수익자 해지 동의 녹취  
 - 보험수익자의 권익 보호를 위해 계약해지 전에 수익자의 동의를 얻거나 또는 해당 보험증권을 소지(증권발행 년월일 확인) 하고 있어야 해지접수가 가능합니다.",,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",발급 완료까지 보통 몇 분 또는 며칠 걸리나요?
,,5. 접수 전 확인 ( 신청  및 접수 후 취소 불가 안내),,해지 신청 해 드리겠습니다. 접수 후 취소는 가능하지 않습니다. ,,,해지/취소 신청은 어떻게 하면 되나요?,해지 시 확인해야 할 조건이나 필요서류가 있나요?,환급금 지급 시점과 공제 항목을 알려주세요.
,,6. FATCA/CRS 확인,,"실례지만, 고객님 국적이 어떻게 되십니까? 
(내국인인 경우) 혹시, 다른 나라에 세금을 납부하는 것이 있으십니까?",,,해지/취소 신청은 어떻게 하면 되나요?,해지 시 확인해야 할 조건이나 필요서류가 있나요?,환급금 지급 시점과 공제 항목을 알려주세요.
